id;timestamp;value;meter_port_id;created;last_modified
83174353;2015-09-21 03:40:11.064+02;137519000;28;2015-09-21 03:40:11.104801+02;2015-09-21 03:40:11.104837+02
83174355;2015-09-21 03:40:11.394+02;596000;25;2015-09-21 03:40:11.473108+02;2015-09-21 03:40:11.473143+02
83174370;2015-09-21 03:40:19.551+02;24000;31;2015-09-21 03:40:19.723019+02;2015-09-21 03:40:19.723083+02
83174368;2015-09-21 03:40:19.551+02;30255000;30;2015-09-21 03:40:19.63494+02;2015-09-21 03:40:19.634973+02
83174469;2015-09-21 03:40:45+02;46429457000;1294;2015-09-21 03:41:19.7277+02;2015-09-21 03:41:19.727732+02
83174467;2015-09-21 03:40:45+02;2254;1283;2015-09-21 03:41:19.244728+02;2015-09-21 03:41:19.244769+02
83174415;2015-09-21 03:40:51.07+02;7000;29;2015-09-21 03:40:51.195127+02;2015-09-21 03:40:51.19516+02
83174414;2015-09-21 03:40:51.07+02;137519000;28;2015-09-21 03:40:51.148802+02;2015-09-21 03:40:51.148855+02
83174418;2015-09-21 03:40:51.39+02;595000;25;2015-09-21 03:40:51.459757+02;2015-09-21 03:40:51.459789+02
83174431;2015-09-21 03:40:59.549+02;24000;31;2015-09-21 03:40:59.654431+02;2015-09-21 03:40:59.65447+02
83174430;2015-09-21 03:40:59.549+02;30255000;30;2015-09-21 03:40:59.607356+02;2015-09-21 03:40:59.60739+02
83174452;2015-09-21 03:41:11.067+02;6000;29;2015-09-21 03:41:11.150519+02;2015-09-21 03:41:11.150553+02
83174451;2015-09-21 03:41:11.067+02;137519000;28;2015-09-21 03:41:11.107665+02;2015-09-21 03:41:11.107704+02
83174470;2015-09-21 03:41:19.56+02;25000;31;2015-09-21 03:41:19.769986+02;2015-09-21 03:41:19.770018+02
83174468;2015-09-21 03:41:19.56+02;30255000;30;2015-09-21 03:41:19.655184+02;2015-09-21 03:41:19.655214+02
